Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","01311","Avocados","2004","2004","tonnes","6457","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","01311","Avocados","2005","2005","tonnes","7051","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","01311","Avocados","2006","2006","tonnes","5860","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","01311","Avocados","2007","2007","tonnes","4512","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","01311","Avocados","2008","2008","tonnes","5013","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","01311","Avocados","2009","2009","tonnes","4848","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","01311","Avocados","2010","2010","tonnes","5895","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","01311","Avocados","2011","2011","tonnes","6058","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","01311","Avocados","2012","2012","tonnes","12349","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","01311","Avocados","2013","2013","tonnes","14240","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","01311","Avocados","2014","2014","tonnes","16601.3","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","01311","Avocados","2015","2015","tonnes","20514.22","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","01311","Avocados","2016","2016","tonnes","29283.81","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","01311","Avocados","2017","2017","tonnes","28448.1","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","01311","Avocados","2018","2018","tonnes","27957.15","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","01311","Avocados","2019","2019","tonnes","31646.5","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","01311","Avocados","2020","2020","tonnes","40078.14","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","01311","Avocados","2021","2021","tonnes","39276.73","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5622","Import Value","01311","Avocados","2000","2000","1000 US$","11056","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5622","Import Value","01311","Avocados","2001","2001","1000 US$","9084","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5622","Import Value","01311","Avocados","2002","2002","1000 US$","13538","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5622","Import Value","01311","Avocados","2003","2003","1000 US$","12216","A","Official figure"
